SightingDate,City,State,Shape,Intensity,Duration,Summary,Witnesses,Posted
1/7/15,Folsom,CA,Circle,Mid,until sunrise,I've been watching crafts with multi-color lights pose in the sky as stars through my telescope since November of 08 every night.,1,"January 9, 2015"
1/6/15,Buena Park,CA,Unknown,Mid,45 seconds,It red or orange in color was dropping debris that looked like it was in fire. (there was no tail) The debris fell straight down. It fl,1,"January 7, 2015"
1/6/15,Vandalia,OH,Disk,High,,"I look to my right, and see TWO bright lights (one flying object).",1,"January 7, 2015"
1/6/15,Watsonville,CA,Triangle,Mid,10 minutes,"I seen 1 triangle shaped red glowing craft with no blinkers and could stop and go at will..was definitely intelligently driven, and was",1,"January 7, 2015"
1/6/15,Phoenix,AZ,Light,High,35 minutes,Slow moving high altitude bright flashing light changing red to blue to green to yellow colors.,1,"January 9, 2015"
1/6/15,Homer,AK,Other,Mid,3 minutes,"Floating pretzel-shaped object over town, scanning laser.",1,"January 7, 2015"
1/6/15,Blanchester,OH,Light,High,,"I was driving to work and I noticed the moon was really bright so I looked up, and when I did I noticed two bizzare lights making a tri",1,"January 9, 2015"
1/6/15,Arcadia,CA,Other,Low,10 minutes,"Having trouble entering exact time but I'll do it here. 6:55am. Traveling east bound on 210 fwy, between Rosemead blvd/myrtle ave exits",1,"January 7, 2015"
1/6/15,Chicago,IL,Changing,High,30 minutes,Very bright moving over one another.,1,"January 7, 2015"
1/5/15,Windsor County,VT,Flash,High,3-5 minutes,"A bright core of light appears in a ceiling window, very strong, lasts 3-5 minutes and moves off. Lasted last 4-5 days.",1,"January 7, 2015"
1/5/15,Staten Island,NY,Triangle,Mid,20-30 seconds,"3 orange lights, triangular formation, not blinking, moving on S sky, silently.  Seen with binoculars until disappeared.",1,"January 7, 2015"
1/5/15,Cottonwood,AZ,Fireball,High,45 seconds,Bright fire ball rising in the sky.  It swerved and disappeared.,1,"January 7, 2015"
1/5/15,Sarasota,FL,Disk,High,1-2 minutes,"Two bright white blinking lights on low hovering disk, moved quickly.",1,"January 7, 2015"
1/5/15,Highland,CA,Fireball,Mid,5 minutes,A large glowing burning object which floated slowly at first in the upper atmosphere then glided to earth still on fire.,1,"January 7, 2015"
1/5/15,Birmingham,AL,Light,Low,2 minutes,Disappearing star.,1,"January 9, 2015"
1/5/15,Drexel Hill,PA,Unknown,Mid,,((HOAX??))  Lights floating down like parachutes.,1,"January 7, 2015"
1/5/15,Glen Burnie,MD,Cylinder,Mid,45 seconds,Silver cigar shaped object spotted in Maryland,1,"January 7, 2015"
1/5/15,Conyers,GA,Light,High,3 minutes,"Object seen flying over interstate, increasing in brightness, then vanishing into thin air.",1,"January 7, 2015"
1/4/15,Toledo,OH,Light,High,15 seconds,Bright orange light moved back and forth over toledo 4 to 5 times then disappeared.,1,"January 7, 2015"
1/4/15,Yukon/Oklahoma City,OK,Light,Mid,50 minutes,"UFO in Oklahoma City.  ((NUFORC Note:  Sighting of the star, ""Sirius?""  PD))",1,"January 7, 2015"
1/4/15,Tyne & Wear (UK/England),,Diamond,Mid,Ongoing,We saw a strange light in the sky.  I said to her straight away that doesn't look right.  ((NUFORC Note:  Twinkling star??  PD)),2,"January 7, 2015"
1/4/15,Sherman Oaks,CA,Flash,Mid,5 minutes,I was driving west on the 101 freeway between Woodman and Van Nuys blvd off ramps. I looked up as a Red Flashing Object caught my eye.,1,"January 7, 2015"
1/4/15,Bend,OR,Light,Mid,30 seconds,"A small, flame-colored light flew over Pilot Butte in Bend.",1,"January 7, 2015"
1/4/15,Talent,OR,Light,High,5 minutes,"A bright orange light came up over the horizon going up into the sky, it stopped and hovered. it then jolted right and diagonal left, t",1,"January 7, 2015"
1/4/15,Spring,TX,Fireball,High,8 minutes,3 red glowing lights fireball objects moving north to south in Houston area moving about 2 minutes apart in same flight path.,1,"January 7, 2015"
1/4/15,Gravesend (UK/England),,Triangle,Low,1,See something in sky and lost time.,1,"January 7, 2015"
1/3/15,Fort Bragg,CA,Fireball,Mid,10 minutes,"4 glowing orange lights spotted in northern sky above Fort Bragg, California.",1,"January 7, 2015"
1/3/15,Fort Bragg,CA,Light,Mid,5 minutes,"5 lights hovering over Fort Bragg, CA.",1,"January 7, 2015"
1/3/15,Austin,TX,Light,Mid,5 minutes,"Reddish lights or fireballs seen moving from west to east in Austin, Texas.",1,"January 7, 2015"
1/3/15,Woodstock,VT,Oval,Mid,3 minutes,Second time I've seen this.  Silent orange glowing ball moving in straight line at slow speed making 90 degree turns.  No flashes.,1,"January 7, 2015"
1/3/15,Glendale,AZ,Oval,High,,"5 white dots flashing in the sky in a ""Y"" formation at 9:45 pm..",1,"January 7, 2015"
1/3/15,Hughes Springs,TX,Circle,Mid,15 minutes,I witnessed orange colored lights in the sky.,1,"January 7, 2015"
1/3/15,Hughes Springs,TX,Circle,High,10 minutes,Observed approximately twenty-five red/orange flying objects or balls of light in sky.,1,"January 7, 2015"
1/3/15,Hughes Springs,TX,Circle,Mid,10 minutes,Immediately saw red lights in the Southwest sky.,1,"January 7, 2015"
1/3/15,Blackshear,GA,Flash,Mid,5 minutes,Flashing light moving erratically.,1,"January 7, 2015"
1/3/15,Melbourne Beach,FL,Fireball,Mid,5 minutes,"Burning object seen falling, then glowing red, and flying over night sky in Melbourne Beach.",1,"January 7, 2015"
1/3/15,Torrance,CA,Disk,High,30 minutes,Bright UFO saucer with two red lights on the bottom.,1,"January 7, 2015"
1/3/15,San Antonio,TX,Light,High,5 minutes,8 lights in the sky.,1,"January 7, 2015"
1/3/15,San Rafael,CA,Other,High,7 seconds,"UFO over San Rafael (Sorry I entered the wrong year in first report, please delete it).",1,"January 16, 2015"
1/3/15,Tucson,AZ,Circle,High,6 minutes,"These were 6 or 8 ORBS, not just lights.",1,"January 9, 2015"
1/2/15,Nampa,ID,Unknown,Mid,3 minutes,Saw 9 red lights disappear...so scared.,1,"January 7, 2015"
1/2/15,Lima,OH,Diamond,High,15 minutes,"Witness a strange event on 1-2-2015 (Lima, Ohio)  There was 3 of them.  Did not appear large. They all had mostly steady red lights wit",1,"January 7, 2015"
1/2/15,Lakemont,GA,Triangle,Mid,5:00,NE GA. (NC/SC).  Amber Triangular Lights.,1,"January 16, 2015"
1/2/15,Kennewick,WA,Light,Mid,3 minutes,Reddish orange triangular pattern of lights.,1,"January 7, 2015"
1/2/15,Twin Falls,ID,Fireball,High,15 minutes,4 red fireballs near Snake River Canyon.,1,"January 9, 2015"
1/2/15,Bridgeport,CT,Sphere,High,15-20 minutes,6 bright red glowing spheres.,1,"January 7, 2015"
1/2/15,DeBary,FL,Oval,Mid,3 minutes,"In daylight, oval object traveled across sky from west to east flashing a red light at irregular intervals - Volusia County, FL.",1,"January 7, 2015"
1/2/15,Cary,NC,Triangle,Mid,2 minutes,"Triangular craft, Cary, NC.",1,"January 7, 2015"
1/2/15,Beijing (China),,Light,High,12 seconds,"Been watching videos on Youtube.  I look out the window and I see 5 moving lights, then I saw a jet (probraly Eurofighter Typhoon).",1,"January 7, 2015"
